name,player_unique_id,number,t_b,height,weight,born,debut,nationality,draft_order,position,team
劉劭威,5573,0,右投右打,190,110,1996-03-26,2021-05-04,中華民國,中信兄弟2019年第六輪,投手,富邦悍將
岳政華,5571,92,左投左打,176,78,2001-01-29,2020-09-26,中華民國,中信兄弟2019年第一輪,中外野手,中信兄弟
邱志恆,5570,10,右投右打,176,85,2001-01-29,,中華民國,中信兄弟2019年第八輪,中外野手,中信兄弟二軍
布雷克,5731,50,右投右打,205,118,1994-07-02,2020-08-01,加拿大,,投手,統一7-ELEVEn獅二軍
威亞,5606,73,右投右打,183,99,1993-10-24,,委內瑞拉,,投手,味全龍
必贏多,5600,25,右投右打,183,88,1994-01-20,2022-09-14,委內瑞拉,,投手,樂天桃猿
李聖裕,5656,2,右投左打,178,78,1997-05-06,2021-09-03,中華民國,,中外野手,中信兄弟二軍
林鋅杰,5789,77,右投右打,187,115,1999-03-18,2024-06-23,中華民國,,投手,味全龍二軍
雷艾斯,5702,60,右投右打,180,83,1992-04-06,2020-09-10,美國,,投手,中信兄弟二軍
張奕,5790,19,右投右打,182,86,1994-02-26,2024-07-14,中華民國,富邦悍將2024年第二輪,投手,富邦悍將二軍
富藍戈,5592,87,右投右打,185,109,1992-12-29,2022-07-05,委內瑞拉,,投手,富邦悍將
林凱威,5788,99,右投右打,178,79,1996-03-19,2022-08-03,中華民國,味全龍2022年第一輪,投手,味全龍二軍
威爾森,5917,74,右投右打,193,95,1990-04-26,,美國,,投手,味全龍
費爾本,6010,54,左投左打,190,96,1985-08-22,2020-04-12,美國,,投手,統一7-ELEVEn獅
巴里歐茲,5918,72,右投右打,185,69,1988-10-11,,委內瑞拉,,投手,味全龍
林桀晨,5916,53,右投左打,181,85,1994-08-23,,中華民國,,一壘手,味全龍二軍
楊程皓,5926,56,右投右打,186,93,1996-12-13,,中華民國,富邦悍將2019年第八輪,投手,富邦悍將二軍
王膺鵬,5915,12,右投左打,175,85,1996-09-12,,中華民國,,捕手,味全龍
卡本特,6004,22,左投左打,196,104,1990-08-22,2020-04-15,美國,,投手,樂天桃猿
德保拉,6006,46,左投右打,192,102,1988-03-04,2020-04-14,多明尼加,,投手,中信兄弟
戴云真,5927,13,右投右打,183,80,1997-04-20,2021-09-17,中華民國,富邦悍將2019年第六輪,中外野手,富邦悍將二軍
羅傑斯,6005,35,右投右打,190,91,1985-08-14,2020-04-17,多明尼加,,投手,中信兄弟二軍
尼寇力,6013,54,左投左打,196,104,1991-11-22,2020-04-28,美國,,投手,樂天桃猿二軍
霸能,6011,97,右投左右開弓,183,102,1990-06-18,2020-04-15,多明尼加,,投手,統一7-ELEVEn獅
艾思凱,6068,96,右投右打,185,92,1996-05-30,,哥倫比亞,,投手,富邦悍將二軍
艾里歐,6056,80,右投右打,190,90,1996-08-12,2023-08-03,多明尼加,,投手,中信兄弟
